No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
293,DXCM,"DexCom, Inc.",30.51B,78.1,0.21%,3.95B
294,ANSS,"ANSYS, Inc.",30.43B,348.02,-0.52%,2.47B
295,GPN,Global Payments Inc.,30.38B,119.38,1.63%,10.02B
296,EQR,Equity Residential,30.29B,77.48,0.49%,2.94B
297,CNC,Centene Corporation,30.26B,59.93,-0.12%,146.20B
298,TSCO,Tractor Supply Company,30.12B,281.96,0.63%,14.77B
299,ON,ON Semiconductor Corporation,29.95B,70.35,-0.66%,7.38B
300,CAH,"Cardinal Health, Inc.",29.68B,122.63,0.16%,224.45B
301,DECK,Deckers Outdoor Corporation,29.13B,191.77,-1.36%,4.66B
302,KEYS,"Keysight Technologies, Inc.",29.10B,168.61,-1.92%,4.98B
303,TPL,Texas Pacific Land Corporation,,"1,636.69",4.13%,37.60B
304,STT,State Street Corporation,28.96B,98.79,-0.02%,12.55B
305,PPG,"PPG Industries, Inc.",28.60B,123.45,0.08%,18.03B
306,SW,Smurfit Westrock Plc,28.37B,54.76,-1.39%,16.43B
307,DOV,Dover Corporation,28.33B,206.51,0.08%,8.47B
308,NVR,"NVR, Inc.",28.17B,"9,193.62",-0.31%,10.28B
309,HAL,Halliburton Company,28.01B,31.88,0.22%,23.07B
310,PHM,"PulteGroup, Inc.",28.00B,136.53,0.69%,17.32B
311,K,Kellanova,27.97B,81.15,0.02%,12.80B
312,GDDY,GoDaddy Inc.,27.78B,197.85,-0.94%,4.48B
313,TROW,"T. Rowe Price Group, Inc.",27.58B,124.16,0.17%,6.91B
314,BR,"Broadridge Financial Solutions, Inc.",27.56B,235.8,-0.27%,6.50B
315,FTV,Fortive Corporation,27.55B,79.4,0.56%,6.20B
316,MPWR,"Monolithic Power Systems, Inc.",27.33B,560.24,-2.07%,2.04B
317,VTR,"Ventas, Inc.",27.30B,64.54,0.45%,4.80B
318,CHD,"Church & Dwight Co., Inc.",27.04B,110.36,-0.02%,6.05B
319,EQT,EQT Corporation,27.02B,45.28,-0.61%,4.62B
320,HPE,Hewlett Packard Enterprise Company,27.01B,20.8,-6.01%,29.02B
321,TYL,"Tyler Technologies, Inc.",26.98B,630.44,-0.75%,2.08B
322,LYB,LyondellBasell Industries N.V.,26.97B,83.04,1.10%,40.73B
323,AWK,"American Water Works Company, Inc.",26.96B,138.31,0.52%,4.52B
324,VLTO,Veralto Corporation,26.70B,107.97,0.01%,5.14B
325,EL,The Est e Lauder Companies Inc.,26.55B,73.96,1.07%,15.45B
326,CPAY,"Corpay, Inc.",26.53B,380.62,-0.40%,3.88B
327,MTD,Mettler-Toledo International Inc.,26.24B,"1,243.40",0.90%,3.76B
328,SYF,Synchrony Financial,26.17B,67.22,-0.06%,9.01B
329,HBAN,Huntington Bancshares Incorporated,26.15B,18,-0.77%,6.69B
330,DTE,DTE Energy Company,26.11B,126.08,0.50%,12.42B
331,ADM,Archer-Daniels-Midland Company,26.02B,54.37,1.21%,87.01B
332,PPL,PPL Corporation,25.83B,35,0.46%,8.28B
333,WBD,"Warner Bros. Discovery, Inc.",25.46B,10.38,2.67%,39.58B
334,AEE,Ameren Corporation,25.35B,94.98,0.75%,7.06B
335,CINF,Cincinnati Financial Corporation,25.04B,160.16,0.34%,12.16B
336,NTAP,"NetApp, Inc.",24.89B,122.43,-5.53%,6.47B
337,DVN,Devon Energy Corporation,24.86B,37.84,0.34%,14.53B
338,ROL,"Rollins, Inc.",24.78B,51.16,-0.83%,3.31B
339,RF,Regions Financial Corporation,24.77B,27.25,-0.22%,6.56B
340,WRB,W. R. Berkley Corporation,24.75B,64.94,0.95%,13.19B
341,WDC,Western Digital Corporation,24.72B,71.5,-2.08%,14.35B
342,HUBB,Hubbell Incorporated,24.63B,458.85,-0.41%,5.64B
343,SBAC,SBA Communications Corporation,24.57B,228.51,0.85%,2.66B
344,FE,FirstEnergy Corp.,24.56B,42.62,0.80%,13.26B
345,PTC,PTC Inc.,23.91B,199.01,-0.13%,2.30B
346,EXPE,"Expedia Group, Inc.",23.73B,184.92,-0.73%,13.39B
347,ES,Eversource Energy,23.67B,64.59,1.59%,11.62B
348,CDW,CDW Corporation,23.55B,176.75,-0.59%,20.83B
349,ATO,Atmos Energy Corporation,23.53B,151.43,0.73%,4.17B
350,WY,Weyerhaeuser Company,23.50B,32.35,1.38%,7.19B
351,WST,"West Pharmaceutical Services, Inc.",23.42B,323.32,1.24%,2.88B
352,BIIB,Biogen Inc.,23.29B,159.83,1.36%,9.61B
353,IFF,International Flavors & Fragrances Inc.,23.22B,90.82,-0.12%,11.42B
354,WAT,Waters Corporation,22.95B,386.57,-0.41%,2.91B
355,TSN,"Tyson Foods, Inc.",22.94B,64.45,1.00%,53.31B
356,ERIE,Erie Indemnity Company,22.91B,438.12,-0.08%,3.69B
357,CBOE,"Cboe Global Markets, Inc.",22.80B,217.84,0.25%,3.96B
358,TDY,Teledyne Technologies Incorporated,22.63B,485.68,1.39%,5.59B
359,ZBH,"Zimmer Biomet Holdings, Inc.",22.30B,112.02,1.25%,7.60B
360,PKG,Packaging Corporation of America,22.03B,247.03,-0.40%,8.18B
